driver1	16/01/2017 17:20	16/01/2017 17:23	3.000000	Sug-Unload	1.000000	2.000000	ndd	first	uninterrupted	A	yes	box6
driver1	16/01/2017 17:23	16/01/2017 17:26	3.000000	Sug-Unload	1.000000	2.000000	ndd	first	uninterrupted	A	yes	box5
driver1	16/01/2017 17:26	16/01/2017 17:29	3.000000	Sug-Unload	1.000000	2.000000	ndd	first	uninterrupted	A	yes	box4
driver1	16/01/2017 17:29	16/01/2017 17:32	3.000000	Sug-Load	1.000000	2.000000	ndd	first	uninterrupted	A	yes	box13
driver1	16/01/2017 17:32	16/01/2017 17:35	3.000000	Sug-Load	1.000000	2.000000	ndd	first	uninterrupted	A	yes	box14
driver1	16/01/2017 17:35	16/01/2017 17:38	3.000000	Sug-Load	1.000000	2.000000	ndd	first	uninterrupted	A	yes	box15
driver1	16/01/2017 17:38	16/01/2017 22:04	266.000000	Sug-Driving	1.000000	2.000000	ndd	first	uninterrupted	A	yes	jaen bilbao
driver1	16/01/2017 22:04	16/01/2017 22:49	45.000000	Sug-Break	1.000000	2.000000	ndd	first	uninterrupted	B_T1	yes
driver1	16/01/2017 22:49	17/01/2017 01:41	172.000000	Sug-Driving	1.000000	2.000000	ndd	second	uninterrupted	A	yes	jaen bilbao
driver1	17/01/2017 01:41	17/01/2017 01:44	3.000000	Sug-Unload	1.000000	2.000000	ndd	second	uninterrupted	A	yes	box15
driver1	17/01/2017 01:44	17/01/2017 01:47	3.000000	Sug-Unload	1.000000	2.000000	ndd	second	uninterrupted	A	yes	box14
driver1	17/01/2017 01:47	17/01/2017 01:50	3.000000	Sug-Unload	1.000000	2.000000	ndd	second	uninterrupted	A	yes	box13
driver1	17/01/2017 01:50	17/01/2017 01:53	3.000000	Sug-Load	1.000000	2.000000	ndd	second	uninterrupted	A	yes	box22
driver1	17/01/2017 01:53	17/01/2017 03:31	98.000000	Sug-Driving	1.000000	2.000000	ndd	second	uninterrupted	A	yes	bilbao barcelona
driver1	17/01/2017 03:31	17/01/2017 14:31	660.000000	Sug-Break	1.000000	2.000000	ndd	second	uninterrupted	DR_T1	yes
