Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver168,208,Driving,1.0,3,ndd,second,split_1,A,1,no
driver168,49,Break,1.0,3,ndd,second,split_1,B_T2,1,no
driver168,173,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,4,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,2,Break,1.0,3,ndd,second,split_2,B_T0,1,no
driver168,3,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,4,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,2,Break,1.0,3,ndd,second,split_2,B_T0,1,no
driver168,1,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,2,Break,1.0,3,ndd,second,split_2,B_T0,1,no
driver168,9,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,2,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,9,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,1,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,10,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,5,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,2,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,3,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,4,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,5,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,2,Other,1.0,3,ndd,second,split_2,A,1,no
driver168,1,Break,1.0,3,ndd,second,split_2,B_T0,1,no
driver168,61,Driving,1.0,3,ndd,second,split_2,A,1,no
driver168,544,Break,1.0,3,ndd,second,split_2,DR_T2,1,no
driver168,210,Driving,1.0,4,ndd,unique,split_1,A,1,no
driver168,2,Other,1.0,4,ndd,unique,split_1,A,1,no
driver168,2,Driving,1.0,4,ndd,unique,split_1,A,1,no
driver168,20,Break,1.0,4,ndd,unique,split_1,B_T2,1,no
driver168,22,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver168,4,Break,1.0,4,ndd,unique,split_2,B_T0,1,no
driver168,5,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver168,2,Other,1.0,4,ndd,unique,split_2,A,1,no
driver168,3,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver168,2,Other,1.0,4,ndd,unique,split_2,A,1,no
driver168,1,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver168,6,Other,1.0,4,ndd,unique,split_2,A,1,no
driver168,1,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver168,2,Other,1.0,4,ndd,unique,split_2,A,1,no
driver168,1,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver168,1,Other,1.0,4,ndd,unique,split_2,A,1,no
driver168,183,Break,1.0,4,ndd,unique,split_2,DR_T3,1,no
driver168,2,Driving,1.0,5,none,none,none,A,0,unidentified
driver168,7,Break,1.0,5,none,none,none,B_T0,0,unidentified
driver168,152,Driving,1.0,5,none,none,none,A,0,unidentified
driver168,23,Break,1.0,5,none,none,none,none,0,unidentified
driver168,8,Driving,1.0,5,ndd,unique,split_1,A,1,no
driver168,2,Break,1.0,5,ndd,unique,split_1,B_T0,1,no
driver168,1,Driving,1.0,5,ndd,unique,split_1,A,1,no
driver168,15,Other,1.0,5,ndd,unique,split_1,A,1,no
driver168,24,Break,1.0,5,ndd,unique,split_1,B_T2,1,no
driver168,6,Driving,1.0,5,ndd,unique,split_2,A,1,no
driver168,1007,Break,1.0,5,ndd,unique,split_2,DR_T4,1,no
driver168,3,Driving,1.0,6,none,none,split_1,A,0,unidentified
driver168,24,Break,1.0,6,none,none,split_1,B_T2,0,unidentified
driver168,4,Driving,1.0,6,none,none,split_2,A,0,unidentified
driver168,48,Break,1.0,6,none,none,split_2,B_T3,0,unidentified
driver168,1,Driving,1.0,6,edd,first,uninterrupted,A,1,no
driver168,48,Break,1.0,6,edd,first,uninterrupted,B_T1,1,no
driver168,2,Driving,1.0,6,edd,second,split_1,A,1,no
driver168,7,Break,1.0,6,edd,second,split_1,B_T0,1,no
driver168,43,Driving,1.0,6,edd,second,split_1,A,1,no
driver168,9,Other,1.0,6,edd,second,split_1,A,1,no
driver168,28,Break,1.0,6,edd,second,split_1,B_T2,1,no
driver168,148,Driving,1.0,6,edd,second,split_2,A,1,no
driver168,2,Other,1.0,6,edd,second,split_2,A,1,no
driver168,61,Driving,1.0,6,edd,second,split_2,A,1,no
driver168,46,Break,1.0,6,edd,second,split_2,B_T3,1,no
driver168,82,Driving,1.0,6,edd,third,split_1,A,1,no
driver168,22,Break,1.0,6,edd,third,split_1,B_T2,1,no
driver168,1,Other,1.0,6,edd,third,split_2,A,1,no
driver168,1,Driving,1.0,6,edd,third,split_2,A,1,no
driver168,6,Other,1.0,6,edd,third,split_2,A,1,no
driver168,663,Break,1.0,6,edd,third,split_2,DR_T1,1,no
driver168,176,Driving,1.0,7,ndd,first,uninterrupted,A,1,no
driver168,2,Break,1.0,7,ndd,first,uninterrupted,B_T0,1,no
driver168,93,Driving,1.0,7,ndd,first,uninterrupted,A,1,no
driver168,46,Break,1.0,7,ndd,first,uninterrupted,B_T1,1,no
driver168,257,Driving,1.0,7,ndd,second,split_1,A,1,no
driver168,46,Break,1.0,7,ndd,second,split_1,B_T2,1,no
driver168,65,Driving,1.0,7,ndd,second,split_2,A,1,no
driver168,664,Break,1.0,7,ndd,second,split_2,DR_T1,1,no
driver168,101,Driving,1.0,8,ndd,first,uninterrupted,A,1,no
driver168,4,Other,1.0,8,ndd,first,uninterrupted,A,1,no
driver168,1,Driving,1.0,8,ndd,first,uninterrupted,A,1,no
driver168,25,Other,1.0,8,ndd,first,uninterrupted,A,1,no
driver168,112,Driving,1.0,8,ndd,first,uninterrupted,A,1,no
driver168,57,Break,1.0,8,ndd,first,uninterrupted,B_T1,1,no
driver168,155,Driving,1.0,8,ndd,second,split_1,A,1,no
driver168,3,Other,1.0,8,ndd,second,split_1,A,1,no
driver168,5,Driving,1.0,8,ndd,second,split_1,A,1,no
driver168,22,Other,1.0,8,ndd,second,split_1,A,1,no
driver168,5,Driving,1.0,8,ndd,second,split_1,A,1,no
driver168,20,Break,1.0,8,ndd,second,split_1,B_T2,1,no
driver168,4,Driving,1.0,8,ndd,second,split_2,A,1,no
driver168,1445,Break,1.0,8,ndd,second,split_2,WR_T2,1,no
driver168,3,Driving,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,3,Other,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,1,Driving,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,11,Other,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,3,Driving,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,2,Other,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,194,Driving,2.0,9,ndd,first,uninterrupted,A,1,no
driver168,47,Break,2.0,9,ndd,first,uninterrupted,B_T1,1,no
driver168,186,Driving,2.0,9,ndd,second,split_1,A,1,no
driver168,2,Other,2.0,9,ndd,second,split_1,A,1,no
driver168,4,Driving,2.0,9,ndd,second,split_1,A,1,no
driver168,1,Other,2.0,9,ndd,second,split_1,A,1,no
driver168,21,Break,2.0,9,ndd,second,split_1,B_T2,1,no
driver168,6,Driving,2.0,9,ndd,second,split_2,A,1,no
driver168,1230,Break,2.0,9,ndd,second,split_2,DR_T1,1,no
driver168,22,Driving,2.0,10,none,none,split_1,A,0,unidentified
driver168,28,Break,2.0,10,none,none,split_1,B_T2,0,unidentified
driver168,1,Driving,2.0,10,none,none,split_2,A,0,unidentified
driver168,3,Other,2.0,10,none,none,split_2,A,0,unidentified
driver168,2,Driving,2.0,10,none,none,split_2,A,0,unidentified
driver168,48,Break,2.0,10,none,none,split_2,B_T3,0,unidentified
driver168,1,Driving,2.0,10,edd,first,split_1,A,1,no
driver168,5,Other,2.0,10,edd,first,split_1,A,1,no
driver168,13,Driving,2.0,10,edd,first,split_1,A,1,no
driver168,9,Break,2.0,10,edd,first,split_1,B_T0,1,no
driver168,6,Driving,2.0,10,edd,first,split_1,A,1,no
driver168,19,Break,2.0,10,edd,first,split_1,B_T2,1,no
driver168,1,Other,2.0,10,edd,first,split_2,A,1,no
