Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver2,Other,6,ndd,unique,split_1,A,1,4
driver2,Break,6,ndd,unique,split_1,B_T0,1,4
driver2,Driving,6,ndd,unique,split_1,A,1,4
driver2,Other,6,ndd,unique,split_1,A,1,4
driver2,Driving,6,ndd,unique,split_1,A,1,4
driver2,Other,6,ndd,unique,split_1,A,1,4
driver2,Break,6,ndd,unique,split_1,B_T0,1,4
driver2,Driving,6,ndd,unique,split_1,A,1,4
driver2,Other,6,ndd,unique,split_1,A,1,4
driver2,Driving,6,ndd,unique,split_1,A,1,4
driver2,Other,6,ndd,unique,split_1,A,1,4
driver2,Break,6,ndd,unique,split_1,B_T2,1,4
driver2,Driving,6,ndd,unique,split_2,A,1,4
driver2,Break,6,ndd,unique,split_2,WR_T1,1,4
