Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver1,Driving,7,ndd,second,uninterrupted,A,1,8
driver1,Other,7,ndd,second,uninterrupted,A,1,8
driver1,Break,7,ndd,second,uninterrupted,WR_T1,1,8
driver1,Driving,8,none,none,uninterrupted,A,0,0
driver1,Other,8,none,none,uninterrupted,A,0,0
driver1,Driving,8,none,none,uninterrupted,A,0,0
driver1,Idle,8,none,none,uninterrupted,I,0,0
driver1,Driving,8,none,none,uninterrupted,A,0,0
driver1,Other,8,none,none,uninterrupted,A,0,0
driver1,Break,8,none,none,uninterrupted,B_T1,0,0
driver1,Driving,8,none,none,none,A,0,0
driver1,Idle,8,none,none,none,I,0,0
driver1,Driving,8,none,none,none,A,0,0
driver1,Break,8,none,none,none,none,0,0
driver1,Driving,8,none,none,none,A,0,0
driver1,Break,8,none,none,none,B_T0,0,0
driver1,Other,8,none,none,none,A,0,0
driver1,Break,8,none,none,none,none,0,0
driver1,Driving,8,ndd,first,split_1,A,1,0
driver1,Break,8,ndd,first,split_1,B_T0,1,0
driver1,Other,8,ndd,first,split_1,A,1,0
driver1,Driving,8,ndd,first,split_1,A,1,0
driver1,Other,8,ndd,first,split_1,A,1,0
driver1,Driving,8,ndd,first,split_1,A,1,0
driver1,Break,8,ndd,first,split_1,B_T2,1,0
driver1,Driving,8,ndd,first,split_2,A,1,0
driver1,Other,8,ndd,first,split_2,A,1,0
driver1,Break,8,ndd,first,split_2,B_T0,1,0
driver1,Driving,8,ndd,first,split_2,A,1,0
driver1,Break,8,ndd,first,split_2,B_T3,1,0
driver1,Driving,8,ndd,second,uninterrupted,A,1,0
driver1,Other,8,ndd,second,uninterrupted,A,1,0
driver1,Driving,8,ndd,second,uninterrupted,A,1,0
driver1,Other,8,ndd,second,uninterrupted,A,1,0
driver1,Driving,8,ndd,second,uninterrupted,A,1,0
driver1,Other,8,ndd,second,uninterrupted,A,1,0
driver1,Break,8,ndd,second,uninterrupted,B_T0,1,0
driver1,Driving,8,ndd,second,uninterrupted,A,1,0
driver1,Other,8,ndd,second,uninterrupted,A,1,0
driver1,Break,8,ndd,second,uninterrupted,DR_T1,1,0
driver1,Driving,9,ndd,unique,split_1,A,1,10
driver1,Break,9,ndd,unique,split_1,B_T2,1,10
driver1,Driving,9,ndd,unique,split_2,A,1,10
driver1,Break,9,ndd,unique,split_2,DR_T3,1,10
driver1,Driving,10,none,none,uninterrupted,A,0,4
driver1,Other,10,none,none,uninterrupted,A,0,4
driver1,Driving,10,none,none,uninterrupted,A,0,4
driver1,Break,10,none,none,uninterrupted,B_T1,0,4
driver1,Driving,10,none,none,none,A,0,4
driver1,Other,10,none,none,none,A,0,4
driver1,Driving,10,none,none,none,A,0,4
driver1,Other,10,none,none,none,A,0,4
driver1,Driving,10,none,none,none,A,0,4
driver1,Other,10,none,none,none,A,0,4
driver1,Break,10,none,none,none,none,0,4
driver1,Driving,10,ndd,unique,uninterrupted,A,1,4
driver1,Break,10,ndd,unique,uninterrupted,WR_T1,1,4
driver1,Driving,11,ndd,first,uninterrupted,A,1,3
driver1,Break,11,ndd,first,uninterrupted,B_T1,1,3
driver1,Driving,11,ndd,second,uninterrupted,A,1,3
driver1,Break,11,ndd,second,uninterrupted,DR_T1,1,3
driver1,Driving,12,edd,first,uninterrupted,A,1,22
driver1,Break,12,edd,first,uninterrupted,B_T0,1,22
driver1,Driving,12,edd,first,uninterrupted,A,1,22
driver1,Other,12,edd,first,uninterrupted,A,1,22
driver1,Break,12,edd,first,uninterrupted,B_T1,1,22
driver1,Driving,12,edd,second,split_1,A,1,22
driver1,Break,12,edd,second,split_1,B_T0,1,22
driver1,Other,12,edd,second,split_1,A,1,22
driver1,Driving,12,edd,second,split_1,A,1,22
driver1,Break,12,edd,second,split_1,B_T0,1,22
driver1,Driving,12,edd,second,split_1,A,1,22
driver1,Break,12,edd,second,split_1,B_T2,1,22
driver1,Driving,12,edd,second,split_2,A,1,22
driver1,Break,12,edd,second,split_2,B_T3,1,22
driver1,Driving,12,edd,third,split_1,A,1,22
driver1,Break,12,edd,third,split_1,B_T2,1,22
driver1,Driving,12,edd,third,split_2,A,1,22
driver1,Sug-Break,12,edd,third,split_2,DR_T1,1,22
