Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver3,Other,4.0,none,none,uninterrupted,A,0,18
driver3,Break,4.0,none,none,uninterrupted,B_T1,0,18
driver3,Other,4.0,edd,first,split_1,A,1,18
driver3,Break,4.0,edd,first,split_1,B_T2,1,18
driver3,Driving,4.0,edd,first,split_2,A,1,18
driver3,Other,4.0,edd,first,split_2,A,1,18
driver3,Break,4.0,edd,first,split_2,B_T3,1,18
driver3,Driving,4.0,edd,second,uninterrupted,A,1,18
driver3,Break,4.0,edd,second,uninterrupted,B_T1,1,18
driver3,Driving,4.0,edd,third,split_1,A,1,18
driver3,Break,4.0,edd,third,split_1,B_T2,1,18
driver3,Driving,4.0,edd,third,split_2,A,1,18
driver3,Break,4.0,edd,third,split_2,WR_T1,1,18
driver3,Break,5.0,ndd,unique,uninterrupted,WR_T1,1,24
driver3,Driving,6.0,none,none,split_1,A,0,22
driver3,Break,6.0,none,none,split_1,B_T0,0,22
driver3,Driving,6.0,none,none,split_1,A,0,22
driver3,Break,6.0,none,none,split_1,B_T2,0,22
driver3,Driving,6.0,none,none,split_2,A,0,22
driver3,Break,6.0,none,none,split_2,B_T0,0,22
driver3,Driving,6.0,none,none,split_2,A,0,22
driver3,Break,6.0,none,none,split_2,B_T0,0,22
driver3,Driving,6.0,none,none,split_2,A,0,22
driver3,Break,6.0,none,none,split_2,B_T0,0,22
driver3,Driving,6.0,none,none,split_2,A,0,22
driver3,Break,6.0,none,none,split_2,B_T3,0,22
driver3,Driving,6.0,edd,first,split_1,A,1,22
driver3,Break,6.0,edd,first,split_1,B_T2,1,22
driver3,Driving,6.0,edd,first,split_2,A,1,22
driver3,Break,6.0,edd,first,split_2,B_T3,1,22
driver3,Driving,6.0,edd,second,split_1,A,1,22
driver3,Break,6.0,edd,second,split_1,B_T0,1,22
driver3,Driving,6.0,edd,second,split_1,A,1,22
driver3,Break,6.0,edd,second,split_1,B_T2,1,22
driver3,Driving,6.0,edd,second,split_2,A,1,22
driver3,Break,6.0,edd,second,split_2,B_T0,1,22
driver3,Driving,6.0,edd,second,split_2,A,1,22
driver3,Break,6.0,edd,second,split_2,B_T0,1,22
driver3,Driving,6.0,edd,second,split_2,A,1,22
driver3,Break,6.0,edd,second,split_2,B_T3,1,22
driver3,Driving,6.0,edd,third,split_1,A,1,22
driver3,Break,6.0,edd,third,split_1,B_T2,1,22
driver3,Driving,6.0,edd,third,split_2,A,1,22
driver3,Other,6.0,edd,third,split_2,A,1,22
driver3,Break,6.0,edd,third,split_2,DR_T2,1,22
driver3,Other,7.0,edd,first,split_1,A,1,5
driver3,Driving,7.0,edd,first,split_1,A,1,5
driver3,Other,7.0,edd,first,split_1,A,1,5
driver3,Break,7.0,edd,first,split_1,B_T2,1,5
driver3,Driving,7.0,edd,first,split_2,A,1,5
driver3,Break,7.0,edd,first,split_2,B_T3,1,5
driver3,Other,7.0,edd,second,uninterrupted,A,1,5
driver3,Break,7.0,edd,second,uninterrupted,B_T1,1,5
driver3,Driving,7.0,edd,third,split_1,A,1,5
driver3,Other,7.0,edd,third,split_1,A,1,5
driver3,Driving,7.0,edd,third,split_1,A,1,5
driver3,Other,7.0,edd,third,split_1,A,1,5
driver3,Driving,7.0,edd,third,split_1,A,1,5
driver3,Other,7.0,edd,third,split_1,A,1,5
driver3,Break,7.0,edd,third,split_1,B_T0,1,5
driver3,Driving,7.0,edd,third,split_1,A,1,5
driver3,Break,7.0,edd,third,split_1,B_T2,1,5
driver3,Driving,7.0,edd,third,split_2,A,1,5
driver3,Other,7.0,edd,third,split_2,A,1,5
driver3,Driving,7.0,edd,third,split_2,A,1,5
driver3,Other,7.0,edd,third,split_2,A,1,5
driver3,Break,7.0,edd,third,split_2,B_T0,1,5
driver3,Driving,7.0,edd,third,split_2,A,1,5
driver3,Other,7.0,edd,third,split_2,A,1,5
driver3,Break,7.0,edd,third,split_2,DR_T2,1,5
driver3,Driving,8.0,none,none,uninterrupted,A,0,0
driver3,Other,8.0,none,none,uninterrupted,A,0,0
